繁體中文,简体中文,英文,註解
資料流,流式,streaming,
複雜運算簡化,复杂生成简化,strength reduction,
強度,烈度,strength,
壓力測試,压力测试,stress Testing,
自動縮放,自动缩放,stretch,
嚴格類型語意,严格类型语意,strict type semantic,
刪除線,删除线,strikeout,
字串編輯器,字符串编辑器,string Editor,
字串串連運算子,字符串串连运算符,string concatenation operator,
字串常數,字符串常量,string constant,
字串運算式,字符串表达式,string expression,
字串識別碼,字符串标识码,string identifier,
字串常值,字符串常值,string literal,
字串名稱,字符串名称,string name,
字串共用,字符串共用,string pooling,
字串資源,字符串资源,string resources,
字串資料表,字符串数据表,string table,
字串變數名稱,字符串变量名称,string variable name,
字串,字符串,string,
字串比較作業,字符串比较作業,string-comparison operation,
剝去,剥去,strip,
階梯狀往左下擴展,阶梯状往左下扩展,strips Left Down,
階梯狀往左上擴展,阶梯状往左上扩展,strips Left Up,
階梯狀往右下擴展,阶梯状往右下扩展,strips Right Down,
階梯狀往右上擴展,阶梯状往右上扩展,strips Right Up,
分解動作頻率,分解动作频率,strobe frequency,
單項工作清單,单项工作列表,stroke list,
增強金鑰,增强金钥,strong key,
強式名稱,强式名称,strong name,
強類型,强类型,strongly typed,
結構,结构,struct,
結構類型,结构类型,structure type,
結構,结构,structure,
結構化查詢語言 (SQL),结构化查询语言 (SQL),structured Query Language,
結構化例外處理,结构化例外处理,structured exception handling,
結構化儲存體,结构化保存体,structured storage,
Stub 檔案,Stub 文件,stub file,
Stub 程式庫,Stub 库,stub libraries,
Stub,Stub,stub,
studio,studio,studio,
研讀時間,研读时间,study time,
樣式產生器,样式生成器,style Builder,
樣式組織,样式组织,style Organizer,
樣式位元,样式位,style bit,
樣式預先設定,样式预先设置,style presets,
樣式表,样式表,style sheet,
子網路遮罩,子网掩码,sub network mask,
子類型,子类型,sub type,
子,子,sub,翻譯字頭不再使用「次」
子相依,子相依,sub-dependency,
子位址,子地址,subaddress,
子類別,子类,subclass,
子類別化,子类化,subclassing,
子資料工作表,子数据工作表,subdatasheet,
再分割場景,再分割情景,subdivide scenes,
子運算式,子表达式,subexpression,
子檔案類型,子文件类型,subfile Type,
子檔案,子文件,subfile,
子資料夾,子文件夹,subfolder,
子資料夾,子文件夹,subfolders,
子項目,子项目,subitems,
主題,主题,subject,
子項,子项,subkey,只用於與 registry 相關
子語言,子语言,sublanguage,
子功能表,子菜单,submenus,
傳送者,发送者,submitter,
子網路遮罩,子网掩码,subnet mask,
子物件,子对象,subobject,
子查詢,子查询,subquery,
子報表,子报表,subreport,
子程式,子程序,subroutine,
註標,注标,subscript,
訂閱資料庫,订阅数据库,subscription database,
子集,子集,subset,
子字串,子字符串,substring,
子系統,子系统,subsystem,
樹狀子目錄,树状子目录,subtree,
子類別,子类,subtype,
子類型,子类型,subtype,
後置字元,后置字符,suffix character,
後綴,后缀,suffix,
摘要,摘要,summary,
夏令時間,夏时制,summer time,
週日,周日,sunday,
Superclass,Superclass,superclasses,
監督人,超级用户,supervisor,
提供者,供应商,supplier,
支援,支持,support,
後綴,后缀,surfix,
代理鍵,代理键,surrogate key,
Surrogate,Surrogate,surrogate,
暫停次數,暂停次数,suspend count,
暫止,暂止,suspend,
交換檔案,交换文件,swap file,
切換控制層級,切换控制级别,switch level,
切換到其他的作業,打开任务列表,switch to other task,
切換到下一個文件視窗,切换到下一个文档窗口,switch to the next document window,
切換到上一個文件視窗,切换到上一个文档窗口,switch to the previous document window,
切換至,切换至,switch to,
切換控制,切换控制,switch,
切換表單,切换表单,switchboard form,
符號存放區,符号存放区,symbol store,
符號,符号,symbol,
符號偵錯資訊,符号调试信息,symbolic debug info,
符號偵錯資訊,符号调试信息,symbolic-debugging information,
對稱式多處理 (SMP),对称式多处理 (SMP),symmetrical multiprocessing,
同步物件,同步对象,synchronization object,
同步處理,同步处理,synchronization processing,
同步化,同步化,synchronization,
同步資料夾,同步文件夹,synchronize Folder,
同步,同步,synchronize,
同步化,同步化,synchronize,
同步呼叫,同步调用,synchronous call,
同步作業,同步作業,synchronous operation,
同步處理,同步处理,synchronous processing,
同步備份,同步副本,syncronize backup,
同義資料表,同义数据表,synonym,
語法錯誤,语法错误,syntax error,
語法,语法,syntax,
系統匣,系统匣,system Tray,
系統管理人,系统管理人,system administrator,
系統剪貼簿,系统剪贴板,system clipboard,
系統資料庫,系统数据库,system database,
系統錯誤,系统错误,system failure,
系統檔案,系统文件,system file,
系統字型,系统字体,system font,
系統識別字,系统标识字,system identifier,
系統日誌,系统日志,system log,
系統強制回應對話方塊,系统强制响应对话框,system modal dialog box,
系統的物件,系统的对象,system object,
系統色板,系统调色板,system palette,
系統註冊表,系统注册表,system registry,
系統時間,系统时间,system time,
系統匣,系统托盘,system tray,
系統匣,系统托盘,systemtray,
系統匣,系统托盘,systray,
頁籤控制項,页签控件,tab control,
定位順序,定位顺序,tab order,
定位停駐點,定位停驻点,tab stop,
定位點寬度,定位点宽度,tab width,
定位鍵,跳格键,tab,
頁籤,页签,tab,只用於多個 dialog 顯示在一個的 tab 控制項
定位分隔報告,定位分隔报告,tab-delimited report,
索引窗格,索引窗格,tabbed panes,
資料表階層,数据表阶层,table hierarchy,
目錄內容表,目录内容表,table of contents,避免與 directory 一同使用時混淆
資料表詞彙,数据表词汇,table term,
表格,表格,table,
資料表,数据表,table,
表格化物件,表格化对象,table-structured object,
表格類型的資料錄集,表格类型的数据录集,table-type recordset,
資料表資料夾,数据表文件夹,tables Folder,
定位字元,制表符,tabs,
表格式資料,表格式数据,tabular data,
標籤,标签,tag,
尾端,尾端,tail,
帶入視訊,带入视频,take to video,
正切函數,正切函数,tan,
正切函數,正切函数,tangent,
帶子,带子,tape,因可能是錄音帶、錄影帶、DV 帶等等
目的資料夾,目标文件夹,target folder,
目標電腦,目标计算机,target machine,
目的網頁,目标网页,target page,
目標類型,目标类型,target type,
目標,目标,target,
工作清單,任务列表,task List,
工作列,任务栏,task bar,
工作句柄,任务句柄,task handle,
工作管理器,任务管理器,task manager,
工作,任务,task,
工作列,任务栏,taskbar,
計程車,出租车,taxi,
TCP 通道通訊協定,TCP 通道协议,tcp channel protocol,
小組總管,小组总管,team explorer,
小組方案管理器,小组方案管理器,team solution manager,
小組方案,小组方案,team solution,
技術提示,技术提示,technical note,
模板引數推導,模板参数推导,template argument deduction,
模板引數,模板参量,template argument,
模板類別,模板类,template class,
模板描述語言 (TDL),模板描述语言 (TDL),template description language,
模板顯式特化,模板显式特化,template explicit specialization,
模板具現化,模板具现化,template instantiation,
模板參數,模板参数,template parameter,
模板,模板,template,
暫存磁碟,暂存磁盘,temporary disk,
暫時檔案,临时文件,temporary file,
暫存物件,暂存对象,temporary object,
暫存視窗,暂存窗口,temporary window,
終端機螢幕,终端屏幕,terminal screen,
終端機,终端,terminal,
終止函式,终止函数,termination functions,
終止處理常式,终止处理常式,termination handler,
使用規定,使用规定,terms of use,
三元運算子,三元运算符,ternary operator,
文字編輯器,文字编辑器,text editor,
文字檔案,文本文件,text file,
文字模式,文本模式,text mode,
文字位置,文本位置,text point,
文字對齊旗標,文本对齐旗标,text-alignment flag,
文字方塊,文本方块,textBox,
文字方塊圖案,文本方块图案,textbox shape,
紋理,纹理,texture,
泰國,泰王国,thailand,
IDPK 的核心檔案,IDPK 的核心文件,the Core IDPK files,
執行時授權識別碼,运行时授权标识码,the Runtime Licensing Key,
JIT 尚未編譯此函式。,JIT 尚未编译此函数。,the function has not yet been JIT compiled.,
最後一筆,最后一条,the last record,
佈景主題,布景主题,theme,
第三波,第三次浪潮,third wave,
協力廠商,协力厂商,third-party,
此一連線,此一连接,this connection,
這個裝置,该设备,this device,
此一檔案,此一文件,this file,
這個檔案,这个文件,this file,
這個選項,该选项,this option,
這個程式,该程序,this program,
此種方案,此种方案,this scheme,
這個使用者,该用户,this user,
線程識別碼,线程标识码,thread ID,
線程列,线程栏,thread bar,
線程區域儲存區,线程区域保存区,thread local storage,
線程切換,线程切换,thread switch,
線程,线程,thread,
安全線程 DLL,安全线程 DLL,thread-safe DLL,
線程,线程,threads,
3D,3D,three-dimensional,
三維核取方塊,三态复选框,three-state check box,
臨界值超過,临界值超过,threshold exceeded,
丟擲,丢掷,throw,
縮圖表示,缩略图表示,thumbnail representation,
縮圖,缩略图,thumbnail,
Thunk,Thunk,thunk,不翻譯
週四,周四,thursday,
刻度標記,刻度标志,tick mark,
刻度,刻度,tick,
水平並排,水平平铺,tile horizontally,
垂直並排,垂直平铺,tile vertically,
並排顯示,并排显示,tile,
關鍵時間,关键时间,time critical,
時間終點,时间终点,time end,
逾時,超时,time out,
校時伺服器,校时服务器,time server,
時間設定,时钟设置,time setting,
時間起點,时间起点,time start,
逾時值,超时值,time-out value,
逾時,超时,time-out,
時間線,时间线,timeline,
逾時,超时,timeout,
計時器識別碼,计时器标识码,timer identifier,
計時器,计时器,timer,
時間戳記,时间戳记,timestamp,
秘訣,秘诀,tip,
標題列,标题列,title bar,
重疊字幕,重叠字幕,title overlay,
字幕,字幕,title,用於視訊軟體
標題,标题,title,
最適,最适,to fit,
往左或往右,向左或向右,to left or to right,
切換格線,切换格线,toggle grid,
切換輔助線,切换辅助线,toggle guides,
廁所,卫生间,toilet,
記號,记号,token,
按鍵式電話,音频式电话,tone,
碳粉,墨粉,toner,
工具資訊模型,工具信息模型,tool information Model,
工具提示,工具提示,tool tip,
工具視窗,工具窗口,tool window,
工具列編輯器,工具栏编辑器,toolbar editor,
工具列,工具栏,toolbar,
工具箱捲軸按鈕,工具箱卷轴按钮,toolbox Scroll Button,
工具箱,工具箱,toolbox,
工具組,工具组,toolkit,
工具提示,工具提示,tooltip,
上方邊界,上方边界,top margin,
最上層視窗,最上层窗口,top-level window,
標題類型,标题类型,topic Types,
最上層顯示視窗,最上层显示窗口,topmost window,
追蹤層級,跟踪级别,trace level,
追蹤訊息,跟踪信息,trace message,
TrackBar,TrackBar,trackbar,
Tracker,Tracker,tracker,
可調大小,可调大小,tracking size,
軌跡,轨迹,tracking,
追蹤,跟踪,tracking,
商標,商标,trademarks,
後隨位元組,后随字节,trail byte,
訓練,培训,train,
異動模式,异动模式,transacted mode,
異動日誌檔案,异动日志文件,transaction log,
異動空間,异动空间,transaction space,
交易,交易,transaction,
異動,异动,transaction,
傳輸通訊協定 (TCP),传输协议 (TCP),transfer Control Protocol,
變形,变形,transform,
暫時性資料彙總工具,暂时性数据汇总工具,transient data aggregator,
暫時性,暂时性,transient,
狀態內轉換,状态内转换,transistion Within,
電晶體,晶体管,transistor,
轉場持續時間,过渡持续时间,transition duration,
轉換,转换,transition,
轉譯階段,转译阶段,translation phase,
轉譯方法,转译方法,translation scheme,
轉譯單位,转译单位,translation unit,
翻譯,翻译,translation,
轉譯,转译,translation,
傳輸緩衝區,传输缓冲区,transmit buffer,
初始化傳送,开始发送,transmitiing initialize,
傳送中,正在传输,transmitting,
透明工作區,透明工作区,transparent region,
透明,透明,transparent,
傳輸層,传输层,transport layer,
傳輸通訊協定,传输协议,transport protocol,
文字調換,文字调换,transpose words,
可截獲的錯誤,可截获的错误,trappable error,
可截獲的,可截获的,trappable,
樹狀檢視,树查看,treeview,
觸發程序,触发程序,trigger,
三角函數,三角函数,trigonometric functions,
三併詞,三并词,trigraph,
修剪終點,修剪终点,trim end,
修剪起點,修剪起点,trim start,
修剪後終點,修剪后终点,trimmed end,
修剪後起點,修剪后起点,trimmed start,
修剪器,修剪器,trimmer,
三重 DES 演算法,三重 DES 演算法,triple DES algorithm,
疑難排解,疑难解答,troubleshooting,
TrueType 字型,TrueType 字体,trueType font,
截斷,截断,truncate,
Try 區塊,Try 列块,try block,
Try-Except,Try-Except,try-except,
try-finally 陳述式,try-finally 陈述式,try-finally statement,
週二,周二,tuesday,
調諧器,调谐器,tuner,
教學課程,教程,tutorial,
Twip,Twip,twip,
雙欄式下拉式方塊,双栏式下拉式方块,two-column combo box,
兩階段交易認可,两阶段交易认可,two-phase commit,
雙向,双向,two-way,
在這裡鍵入,在这里键入,type Here,
類型資訊模型,类型信息模型,type Information Model,
類型程式庫,类型库,type Libraries,
類型轉換,类型转换,type cast,
類型檢查,类型检查,type checking,
類型轉換子,类型转换符,type converter,
類型宣告字元,类型宣告字符,type declaration character,
類型宣告,类型宣告,type declaration,
類型定義,类型定义,type definition,
類型資訊,类型信息,type information,
類型程式庫檔案,类型库文件,type library file,
類型修飾詞,类型修饰词,type modifier,
連結類型,链接类型,type of link,
類型限定詞,类型限定词,type qualifier,
類型安全,类型安全,type safety,
類型,类型,type,
類型宣告字元,类型宣告字符,type-declaration character,
類型宣告,类型宣告,type-declaration,
類型安全集合,类型安全集合,type-safe collection,
類型指標,类型指标,typed pointer,
字樣名稱,字样名称,typeface name,
字樣,字样,typeface,
無類型程式設計,无类型程序设计,typeless Programming,
颱風,台风,typhoon,
超音波,超声波,ultrasonic,
暗影,暗影,umbra,
一元運算子,一元运算符,unary operator,
一元,一元,unary,
自主式執行,自主式运行,unattended execution,
不可使用,无法用,unavailable,
無法使用,不可用,unavailable,
不對稱的括弧,不对称的括弧,unbalanced parentheses,
取消註解,取消备注,uncomment,
未裝飾名稱,未装饰名称,undecorated name,
未定義,未定义,undefine,
下限溢位,下限溢位,underflow,
Underhang,Underhang,underhang,
底線,下划线,underline,
基礎資料表,基础数据表,underlying table,
復原簽出,撤销签出,undo Check Out,
復原旗標,撤销旗标,undo flag,
復原上次的動作,还原上次操作,undo the last action,
復原上次的動作,还原上次操作,undo the last operation,
已復原,已撤销,undone,
非強制關聯性,非强制关联性,unenforced relationship,
意外的錯誤,异常错误,unexpected error,
Unicode,Unicode,unicode,不翻譯
統一事件模型,统一事件模型,unified Event Model,
統一建模語言 (UML),统一建模语言 (UML),unified modeling language,
制式資料傳輸,制式数据传输,uniform Data Transfer,
取消縮排,取消缩排,unindent,
解除安裝,解除安装,uninstall,
等位宣告,等位宣告,union declaration,
等位辨析,等位辨析,union discriminant,
聯合查詢,联合查询,union query,
等位,等位,union,
唯一,唯一,uniqUE,
唯一鍵,唯一键,unique Key,
唯一的條件約束,唯一的条件约束,unique constraint,
唯一索引,唯一索引,unique index,
通用命名碼 (UNC),通用命名码 (UNC),universal Naming Code,
通用命名慣例 (UNC),通用命名惯例 (UNC),universal Naming Convention,
通用獨一識別碼,通用独一标识码,universally unique identifier,
不明的,未知的,unknown,
不詳,未知,unknown,
未知的,未知的,unknown,
卸載,卸载,unloaded,
中斷網路磁碟機,断开网络驱动器,unmap network Drive,
解封送處理,解封送处理,unmarshaling,
不符合的,不符合的,unmatched,
未命名的書籤,无标题的书签,unnamed bookmark,
解裝,解装,unpack,
未資格修飾,未资格修饰,unqualified,
資格不符的,资格不符的,unqualified,
無法識別的方案,无法识别的模式,unrecognized scheme,
無法辨識的,无法识别的,unrecognized,
移除註冊,删除注册,unregister,
不帶正負號的整數,不带正负号的整数,unsigned integer,
可變大小陣列,可变大小数组,unsized array,
未命名,无标题,untitled,
未受信任客戶端,未受信任客户端,untrusted Clients,
上下按鈕控制項,上下按钮控件,up-down control,
更新時間,更新时间,update Time,
更新處理函式,更新处理函数,update handler function,
更新資訊,更新信息,update information,
更新選項,更新选项,update option,
更新查詢,更新查询,update query,
更新區域,更新区域,update region,
更新,更新,updates,
更新 OLE 物件,更新 OLE 对象,updating OLE objects,
上下按鈕,上下按钮,updown,
上限,上限,upper bound,
大寫,大写,uppercase,
向上相容子集,向上兼容子集,upwardly compatible subset,
網址,网址,url,
URLshortcut,URLshortcut,urlshortcut,不翻譯
需要使用者介入,需要用户干预,use intervention required,
使用過檔案,使用过文件,used file,
使用空間,已用空间,used space,
Usenet,Usenet,usenet,不翻譯
使用者控制項,用户控件,user Control,
使用者控制項,用户控件,user Control,
使用者資料包通訊協定,用户数据包协议,user Datagram Protocol,
使用者定義類型,用户定义类型,user Defined Type,
使用者定義,用户定义,user Defined,
使用者定義訊息,用户定义信息,user Directory tab,
使用者文件,用户文件,user Document,
使用者定義運算子,用户定义操作符,user Document,
使用者識別碼,用户标识码,user ID,
使用者帳戶,用户帐户,user account,
使用者定義資料類型,用户定义数据类型,user directory synchronization,
使用者介入,用户操作,user interrupted,
使用者級,用户级,user level,
使用者清單,用户列表,user list,
使用者名稱,用户名,user name,
使用者概況表,用户概况表,user profile,
使用者資料表,用户数据表,user tables,
使用者,用户,user,
使用者定義資料類型,用户定义数据类型,user-defined data type,
使用者定義訊息,用户定义信息,user-defined message,
使用者定義運算子,用户定义运算符,user-defined operator,
使用介面物件,使用介面对象,user-interface object,
使用介面線程,使用介面线程,user-interface thread,
使用交易,使用交易,using Transactions,
使用說明,使用帮助,using help,
公用程式,公用程序,utility,
有效連接字串,有效连接字符串,valid connection string,
有效的,有效的,valid,
查驗,查验,validate,查驗檔案是存在、查驗人員
驗證規則,验证规则,validation rules,
驗證腳本,验证脚本,validation script,
驗證,验证,validation,
驗證,验证,validation,常用於硬體 
數值類型,数值类型,value type,
可變個數引數,可变个数参量,variable argument,
可變個數參數,可变个数参数,variable parameter,
可變,可变,variable,
變數,变量,variable,
可變長度,可变长度,variable-length,
Variant 運算式,Variant 表达式,variant expression,
VBA 專案,VBA 项目,vba project,
向量字型,矢量字体,vector font,
向量,矢量,vector,
動作,操作,verb,
繁瑣,冗长,verbose,verbose:繁瑣 redundant:冗餘 detail:細節
變數,变量,veriables,
查核,查核,verification,對某動作或程序查核 
查核,查核,verification,
查核,查核,verify, 查核內容、路徑、檔名有無錯誤
版本控制,版本控制,version control,
版本資訊,版本信息,version information,
版本資源,版本资源,version resource,
垂直百葉窗,垂直百叶窗,vertical Blinds,
垂直並排,纵向平铺窗口,vertically tile,
可行函式,可行函数,viable function,
可行的,可行的,viable,
視訊編碼解碼器,视频编码解码器,video codec,用於視訊軟體
視訊會議,可视会议,video conference,
視訊編碼,视频编码,video encode,
Video for Windows,Windows 视频,video for windows,不翻譯
視訊輸入,视频输入,video in,
視訊輸入,视频输入,video input,
視訊輸出,视频输出,video out,
視訊輸出,视频输出,video output,
攝影機,摄像机,video recorder,
視訊串流,视频流,video stream,
錄影帶,录像带,video tape,
視訊,视频,video,
檢視差異,查看差异,view differences,
檢視分頁符號,查看分页符号,view page breaks,
檢視器窗格,查看器窗格,viewer pane,
檢視器,查看器,viewer,
檢視區原點,查看区原点,viewport origin,
檢視區,查看区,viewport,
檢視,查看,views,
虛擬基底類別,虚拟基底类,virtual base class,
虛擬解構函式,虚拟解构函数,virtual destructor,
虛擬裝置驅動程式,虚拟设备驱动程序,virtual device driver,
虛擬函式表,虚拟函数表,virtual function table,
虛擬函式,虚拟函数,virtual function,
虛擬繼承,虚拟继承,virtual inheritance,
虛擬按鍵碼,虚拟按键码,virtual key code,
虛擬記憶體,虚拟内存,virtual memory,
虛擬私人網路,虚拟专用网,virtual private netowrk,
虛擬實境,虚拟实境,virtual reality,
虛擬根目錄,虚拟根目录,virtual root,
可視介面,可视介面,visible interface,
Visible 特性,Visible 特性,visible property,
可見區域,可见区域,visible region,
可見的,可见的,visible,
視覺化設計工具,视觉化设计工具,visual designer,
視覺化模型,视觉化模型,visual modeling,
旁白,画外音,voice-over,
虛值指標,虚值指标,void pointer,
虛值,虚值,void,
易變的,易变的,volatile,
等候原因,等候原因,wait reason,
等候,等候,wait,
逐步解說,逐步解说,walkthrough,
桌布,墙纸,wallpaper,
Wand,Wand,wand,
警告事件,警告事件,warning Event,
警告,警告,warning,
保證,保证,warrant,用於軟硬體保證期 
保證書,保证书,warranty,用於軟硬體保證期 
監看運算式,监看表达式,watch expression,
監看,监看,watch,
監看員,监看员,watcher,
聲波裝置,波形设备,wave device,
聲波格式,波形格式,wave format,
波形音效,波形音频,waveform audio,
弱式外部連結,弱式外部链接,weak external,
Web 網頁,Web 网页,web page,
Web 組件,Web 组件,web part,
網站,站点,web site,
網路廣播,网络广播,webcasting,
網頁或檔案,网页或文件,webpage or file,
Web 參考,Web 参考,webreference,
週三,周三,wednesday,
週末,周末,week end,
形式合法,形式合法,well-formed,
位置,位置,where,
泛空白字元,泛空白字符,white space,
空白區,空白区,white space,
全字拼寫,全词匹配,whole Word,
寬字元,宽字符,wide character,
寬字元常數,宽字符常量,wide-character constant,
全半形須相符,全半角须相符,width Sensitive,
萬用字元,通配符,wildcard character,
萬用字元,通配符,wildcard,
Win32 平台,Win32 平台,win32 platform,
視窗物件,窗口对象,window Object,
視窗特性,窗口特性,window characteristic,
視窗類別,窗口类,window class,
視窗寬高,窗口宽高,window extent,
視窗句柄,窗口句柄,window handle,
視窗源,窗口源,window origin,
視窗程序,窗口程序,window procedure,
視窗方框,窗口方框,window rectangle,
視窗樣式,窗口样式,window style,
視窗,窗口,window,
無視窗控制項,无窗口控件,windowless controls,
Windows 工作期間,Windows 会期期间,windows session,
往下擦去,往下擦去,wipe Down,
往左擦去,往左擦去,wipe Left,
往右擦去,往右擦去,wipe Right,
往上擦去,往上擦去,wipe Up,
智慧,智能,wise,
精靈管理器,向导管理器,wizard Manager,
精靈,向导,wizard,
WMI 事件提供者,WMI 事件供应商,wmi Event Provider,
WMI 實體提供者,WMI 实例供应商,wmi Instance Provider,
字組對齊,字组对齐,word alignment,
字組界限,字组界限,word boundary,
字緣,字缘,word boundary,
文書處理,文字处理,word process,
字,词,word,
單字,单词,word,
換行,换行,wordwrap,
工作日數,劳动日,work date,
工作簿物件,工作簿对象,workbook object,
背景工作線程,背景工作线程,worker thread,
工作流程處理精靈,工作流程处理向导,workflow Process wizard,
工作流程工具列控制項,工作流程工具栏控件,workflow Toolbar control,
工作流程動作,工作流程操作,workflow action,
工作流程部署精靈,工作流程部署向导,workflow deployment wizard,
工作流程設計工具,工作流程设计工具,workflow designer,
工作流程圖表,工作流程图表,workflow diagram,
工作流程引擎,工作流程引擎,workflow engine,
工作流程事件,工作流程事件,workflow event,
工作流程物件,工作流程对象,workflow object,
工作流程處理定義,工作流程处理定义,workflow process definition,
工作流程腳本編輯器,工作流程脚本编辑器,workflow script editor,
工作流程安全性,工作流程安全性,workflow security,
工作流程狀態,工作流程状态,workflow state,
工作流程狀態列,工作流程状态栏,workflow status column,
工作流程資料表,工作流程数据表,workflow table,
工作流程工具箱,工作流程工具箱,workflow toolbox,
工作流程,工作流程,workflow,
工作日,工作日,working day,
工作檔案,工作文件,working file,
工作群組,工作组,working group,
工作集,工作集,working set,
使用命令行,使用命令行,working with Command Bars,
工作區組態檔案,工作区配置文件,workspace configuration file,
工作區選項檔案,工作区选项文件,workspace options file,
工作區視窗,工作区窗口,workspace window,
全球資訊網,全球信息网,world wide web,
捲動磁碟列,滚动磁盘栏,wrap drivebar,
捲動工具列,滚动工具栏,wrap toolbar,
包裝函式類別,包装函数类,wrapper class,
包裝函式,包装函数,wrapper function,
包裝函式,包装函数,wrapper,
唯寫,只写,write only,
唯寫,只写,write-only,
X 軸寬,X 轴宽,x-extent,
以零為基準的索引,以零为基准的索引,zero-based index,
長度為零,长度为零,zero-length,
郵遞區號,邮政编码,zip code,
廢止狀態,废止状态,zombie state,
地區安全性,地区安全性,zone security,
放大,放大,zoom in,
縮小,缩小,zoom out,
縮放,缩放,zooming,
分/秒/幀 位置,分/秒/帧 位置,MSF position,
最佳功率校測 (OPC),最佳功率校测 (OPC),OPC,
光碟記錄暫存區,光盘记录暂存区,PMA,
光碟內容表,光盘内容表,TOC,
不正常,不正常,abnormal,
吸收,吸收,absorption,
摘要檔案,摘要文件,abstract file,
準確地,准确地,accurately,
音訊光碟,音频光盘,audio CD,
音訊軌段,音频轨段,audio Tracks,
音訊擷取,音频采集,audio extraction,
音樂索引,音乐索引,audio index,
音訊序列,音频序列,audio queue,
音訊光碟,音频光盘,audio-CD,
自動安插通知,自动安插通知,auto insert notification,
自動載入器,自动载入器,autoloader,
條碼,条码,barcode,
文獻檔案,文献文件,bibliographic file,
空白光碟,空白光盘,blank disc,
可開機光碟,可开机光盘,bootable CD,
啟動載入模式,启动载入模式,bootstrap mode,
緩衝程度,缓冲程度,buffer level,
緩衝狀態,缓冲状态,buffer state,
緩衝區淘空,缓冲区淘空,buffer underrun,
堆積艙,堆积舱,bulk,
燒錄影像,刻录影像,burn Image,
燒錄設定值,刻录设置数值,burn setting,
燒錄,刻录,burn,
BURN-Proof,BURN-Proof,burn-proof,不翻譯
執行進程,刻录进程,burnprocess,
匯流排類型,总线类型,bus type,
校測,校测,calibration,
雷射功率校測區,激光功率校测区,callibration area,
複製光碟,复制光盘,cd copy,
光碟錄製,光盘录制,cd recording,
光碟燒錄機,光盘刻录机,cd-R,
唯讀光碟機,只读光驱,cd-ROM,
可抹寫光碟燒錄機,可抹写光盘刻录机,cd-RW,
光碟寫錄機,光盘写录机,cd-Writer,
光碟複製,光盘复制,cd-copy,
可錄式光碟,可录式光盘,cd-recordable,
光碟燒錄機,光盘刻录机,cd-recorder,不用「燒錄器」
可抹寫式光碟,可抹写式光盘,cd-rewritable,
光碟文字功能,光盘文字功能,cd-text,
核取的裝置,核取的装置,checked device,
關閉光碟,关闭光盘,close disk,
關閉區段,关闭区段,close session,
已關閉區段,已关闭区段,closed session,
叢集,丛集,cluster,
命令集,命令集,commandset,
比較軌段,比较轨段,compare track,
編輯,编辑,compilation,
編輯,编辑,compile,
適用的名稱,适用的名称,compliant Naming,
固定位元率,恒定比特率,constant bitrate,
持續性嘶聲,持续性嘶声,constant hiss,
接續 (多重區段),接续 (多重区段),continue (multi-session),
版權檔案,版权文件,copyright file,
封套編輯器,封套编辑器,cover editor,
封套,封套,cover,
爆音,爆音,crackle,
循環冗餘檢查 (CRC),循环冗余检查 (CRC),crc,
交錯淡變,交错淡变,cross-fade,
提示表,提示表,cue sheet,
循環冗餘檢查 (CRC),循环冗余检查 (CRC),cyclic redundancy check,見 CRC
分貝,分贝,dB,
資料籌備,数据筹备,data preparer,
資料軌段,数据轨段,data track,
雜音消除,杂音消除,deClick,
已延遲,已延迟,deferred,
去交錯,去交错,deinterleave,
停用,禁用,disable,
光碟一次寫錄 (DAO),光盘一次写录 (DAO),disc at once,
光碟標籤,光盘标签,disc label,
光碟一次寫錄 (DAO),光盘一次写录 (DAO),disc-at-once,
光碟匣門開啟,光盘匣门打开,door open,
光碟匣門,光盘匣门,door,
持續時間,持续时间,duration,
退出光碟,退出光盘,eject CD,
退出,退出,eject,
經過時間,经过时间,elapsed time,
升降移動,升降移动,elevation movement,
升降感應器,升降感应器,elevation sensor,
升降馬達,升降马达,elevator motor,
升降感應器,升降感应器,elevator sensor,
增幅放大,增幅放大,emphasis,
啟用,启用,enable,
封閉,封闭,enclosure,
結束時間,退出时间,end time,
終點軌段,终点轨段,end track,
等化器,均衡器,equalizer,
可抹除的,可抹除的,erasable,
抹除,抹除,erase,
錯誤更正,错误更正,error correction,
ExacLink,ExacLink,exacLink,不翻譯
異常,异常,exception,
快速複製 (即時寫錄),快速复制 (即时写录),fast copy (on-the-fly),
檔案系統,文件系统,file system,
濾波器,滤波器,filters,
終結最終化光碟,最终化光盘,finalize CD,
最終化光碟,最终化光盘,finalizing disc,
韌體,固件,firmware,
定位,定位,fixation,
折疊線,折叠线,folding lines,
非原生的影像,非原生的影像,foreign image,
間隙索引,间隙索引,gap index,
標頭,标头,header,與 footer trailer 相對
核心圓孔高度,核心圆孔高度,height inner circle,
嘶聲等級,嘶声等级,hiss level,
降低嘶聲,降低嘶声,hiss reduction,
托架,托架,holder,
影像燒錄機,影像刻录机,image recorder,
影像,影像,image,
鑲套,镶套,inlay,
強化立體編碼,强化立体编码,intensity stereo coding,
媒體櫃,媒体柜,jukebox,
JustLink,JustLink,justLink,不翻譯
標籤,标签,label,
語言,语言,language,不翻譯
導入軌,导入轨,lead in track,
導入,导入,lead in,
導出軌,导出轨,lead out track,
導出,导出,lead out,
導入,导入,lead-in,
導出,导出,lead-out,
導入,导入,leadin,
導出,导出,leadout,
